@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
103,'2018/01/18 18:15:43:519',2,1,0,1,1,1
104,'2018/01/18 18:15:43:539',2,1,0,1,1,1
105,'2018/01/18 18:15:52:926',3,1,1,0,1,0
106,'2018/01/18 18:15:52:946',3,1,1,0,1,0
107,'2018/01/18 18:15:52:966',3,1,1,0,1,0
108,'2018/01/18 18:15:52:986',3,1,1,0,1,0
109,'2018/01/18 18:15:53:006',3,1,1,0,1,0
110,'2018/01/18 18:15:53:026',3,1,1,0,1,0
111,'2018/01/18 18:15:53:046',3,1,1,0,1,0
112,'2018/01/18 18:15:53:066',3,1,1,0,1,0
113,'2018/01/18 18:15:53:086',3,1,1,0,1,0
114,'2018/01/18 18:15:53:106',3,1,1,0,1,0
115,'2018/01/18 18:15:53:126',3,1,1,0,1,0
116,'2018/01/18 18:15:53:146',3,1,1,0,1,0
117,'2018/01/18 18:15:53:166',3,1,1,0,1,0
118,'2018/01/18 18:15:53:186',3,1,1,0,1,0
119,'2018/01/18 18:15:53:206',3,1,1,0,1,0
120,'2018/01/18 18:15:53:226',3,1,1,0,1,0
121,'2018/01/18 18:15:53:246',3,1,1,0,1,0
122,'2018/01/18 18:15:53:266',3,1,1,0,1,0
123,'2018/01/18 18:15:53:286',3,1,1,0,1,0
124,'2018/01/18 18:15:53:306',3,1,1,0,1,0
125,'2018/01/18 18:15:53:326',3,1,1,0,1,0
126,'2018/01/18 18:15:53:346',3,1,1,0,1,0
127,'2018/01/18 18:15:53:366',3,1,1,0,1,0
128,'2018/01/18 18:15:53:386',3,1,1,0,1,0
129,'2018/01/18 18:15:53:406',3,1,1,0,1,0
130,'2018/01/18 18:15:53:426',3,1,1,0,1,0
131,'2018/01/18 18:15:53:447',3,1,1,0,1,0
132,'2018/01/18 18:15:53:466',3,1,1,0,1,0
133,'2018/01/18 18:15:53:486',3,1,1,0,1,0
134,'2018/01/18 18:15:53:506',3,1,1,0,1,0
135,'2018/01/18 18:15:53:526',3,1,1,0,1,0
136,'2018/01/18 18:15:53:546',3,1,1,0,1,0
137,'2018/01/18 18:15:53:566',3,1,1,0,1,0
138,'2018/01/18 18:15:53:586',3,1,1,0,1,0
139,'2018/01/18 18:15:53:606',3,1,1,0,1,0
140,'2018/01/18 18:15:53:626',3,1,1,0,1,0
141,'2018/01/18 18:15:53:646',3,1,1,0,1,0
142,'2018/01/18 18:15:53:666',3,1,1,0,1,0
143,'2018/01/18 18:15:53:686',3,1,1,0,1,0
144,'2018/01/18 18:15:53:706',3,1,1,0,1,0
145,'2018/01/18 18:15:53:726',3,1,1,0,1,0
146,'2018/01/18 18:15:53:746',3,1,1,0,1,0
147,'2018/01/18 18:15:53:766',3,1,1,0,1,0
148,'2018/01/18 18:15:53:786',3,1,1,0,1,0
149,'2018/01/18 18:15:53:806',3,1,1,0,1,0
150,'2018/01/18 18:15:53:826',3,1,1,0,1,0
151,'2018/01/18 18:15:53:846',3,1,1,0,1,0
152,'2018/01/18 18:15:53:866',3,1,1,0,1,0
153,'2018/01/18 18:15:53:886',3,1,1,0,1,0
154,'2018/01/18 18:15:53:906',3,1,1,0,1,0
155,'2018/01/18 18:16:09:317',4,0,1,0,0.47,0.68
156,'2018/01/18 18:16:09:337',4,0,1,0,0.47,0.68
157,'2018/01/18 18:16:09:357',4,0,1,0,0.47,0.68
158,'2018/01/18 18:16:09:377',4,0,1,0,0.47,0.68
159,'2018/01/18 18:16:09:397',4,0,1,0,0.47,0.68
160,'2018/01/18 18:16:09:417',4,0,1,0,0.47,0.68
161,'2018/01/18 18:16:09:437',4,0,1,0,0.47,0.68
162,'2018/01/18 18:16:09:457',4,0,1,0,0.47,0.68
163,'2018/01/18 18:16:09:477',4,0,1,0,0.47,0.68
164,'2018/01/18 18:16:09:497',4,0,1,0,0.47,0.68
165,'2018/01/18 18:16:09:517',4,0,1,0,0.47,0.68
166,'2018/01/18 18:16:09:537',4,0,1,0,0.47,0.68
167,'2018/01/18 18:16:09:557',4,0,1,0,0.47,0.68
168,'2018/01/18 18:16:09:577',4,0,1,0,0.47,0.68
169,'2018/01/18 18:16:09:597',4,0,1,0,0.47,0.68
170,'2018/01/18 18:16:09:617',4,0,1,0,0.47,0.68
171,'2018/01/18 18:16:09:637',4,0,1,0,0.47,0.68
172,'2018/01/18 18:16:09:657',4,0,1,0,0.47,0.68
173,'2018/01/18 18:16:09:677',4,0,1,0,0.47,0.68
174,'2018/01/18 18:16:09:697',4,0,1,0,0.47,0.68
175,'2018/01/18 18:16:09:717',4,0,1,0,0.47,0.68
176,'2018/01/18 18:16:09:737',4,0,1,0,0.47,0.68
177,'2018/01/18 18:16:09:757',4,0,1,0,0.47,0.68
178,'2018/01/18 18:16:09:777',4,0,1,0,0.47,0.68
179,'2018/01/18 18:16:09:797',4,0,1,0,0.47,0.68
180,'2018/01/18 18:16:09:817',4,0,1,0,0.47,0.68
181,'2018/01/18 18:16:09:837',4,0,1,0,0.47,0.68
