@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute outputs-1 {0,1,2,3}

@data
298,'2018/01/18 19:42:03:078',1,0.098529,0.246232,0.083754,0.06574,0.018437,0.007188,0.013054,0.006884,0.011421,0.01171,0.00798,0.011834,0.051532,0.013534,0.016945,0.152455,0.078596,0.024047,0.070656,0.035431,0.009751,0.003573,0.000585,0.000209,0.00011,?
299,'2018/01/18 19:42:03:089',1,0.075027,0.212456,0.089368,0.04489,0.022302,0.009509,0.008543,0.008939,0.014614,0.009347,0.008835,0.009509,0.071743,0.013551,0.018735,0.212987,0.057178,0.022333,0.092675,0.026735,0.007995,0.00319,0.000567,0.000206,0.000111,?
300,'2018/01/18 19:42:03:101',1,0.069207,0.169992,0.09676,0.022837,0.011729,0.010014,0.005389,0.009831,0.00698,0.010733,0.012012,0.008862,0.060137,0.016521,0.018562,0.21748,0.042461,0.023552,0.094136,0.025498,0.008243,0.003121,0.000506,0.000215,0.000122,?
301,'2018/01/18 19:42:03:113',1,0.08621,0.240589,0.079555,0.023108,0.012363,0.012147,0.006977,0.011913,0.008467,0.00899,0.009492,0.011278,0.057757,0.014533,0.025145,0.112977,0.040913,0.019978,0.052641,0.021084,0.008481,0.004572,0.00048,0.000193,0.000109,?
302,'2018/01/18 19:42:03:129',1,0.045967,0.17282,0.087586,0.056433,0.010912,0.01034,0.010831,0.010607,0.008423,0.006261,0.008138,0.015052,0.040544,0.014005,0.014987,0.075554,0.042057,0.0197,0.049771,0.031105,0.009811,0.003072,0.000534,0.000183,0.000111,?
303,'2018/01/18 19:42:03:143',1,0.058813,0.17298,0.053008,0.044622,0.011755,0.009235,0.011904,0.006065,0.009506,0.007551,0.008903,0.010393,0.058359,0.013138,0.014481,0.119273,0.046042,0.015375,0.047208,0.040006,0.009357,0.00247,0.000545,0.000208,0.000142,?
304,'2018/01/18 19:42:03:147',1,0.127373,0.241698,0.054968,0.02987,0.014341,0.008253,0.01355,0.004889,0.009898,0.006914,0.007573,0.015043,0.046699,0.011448,0.016256,0.124286,0.052695,0.020476,0.061273,0.031916,0.008427,0.002452,0.000531,0.000198,0.000146,?
305,'2018/01/18 19:42:03:160',1,0.164468,0.220796,0.037934,0.026884,0.013906,0.010029,0.008856,0.007087,0.011008,0.008862,0.011071,0.010581,0.026734,0.017636,0.015056,0.074344,0.037413,0.016793,0.04825,0.026922,0.007879,0.00288,0.000493,0.000195,0.000146,?
306,'2018/01/18 19:42:03:170',1,0.118666,0.221011,0.05643,0.034238,0.009075,0.010406,0.009078,0.009795,0.009839,0.005559,0.010797,0.014476,0.027481,0.018772,0.017929,0.055661,0.020383,0.01697,0.065426,0.020784,0.007187,0.002826,0.000512,0.000181,0.000128,?
307,'2018/01/18 19:42:03:182',1,0.082317,0.260835,0.06155,0.060304,0.012274,0.010268,0.006742,0.009048,0.014741,0.008245,0.007038,0.013943,0.043415,0.016366,0.017868,0.049979,0.018639,0.016332,0.056458,0.016996,0.008984,0.003106,0.000488,0.000205,0.000137,?
308,'2018/01/18 19:42:03:194',1,0.06858,0.370072,0.075525,0.041744,0.014685,0.007208,0.006231,0.007369,0.010481,0.008253,0.00737,0.012612,0.041055,0.016447,0.015303,0.031898,0.021167,0.0168,0.036941,0.018694,0.008349,0.002952,0.000541,0.000235,0.000139,?
309,'2018/01/18 19:42:03:205',1,0.22123,0.365241,0.118694,0.042088,0.013377,0.008266,0.0073,0.006027,0.013434,0.009439,0.007384,0.014631,0.036273,0.013579,0.016015,0.024542,0.021482,0.015322,0.043461,0.019647,0.007571,0.002738,0.00057,0.000202,0.00014,?
310,'2018/01/18 19:42:03:217',1,0.199336,0.345215,0.065972,0.035178,0.008848,0.007255,0.006275,0.005799,0.012888,0.008246,0.006995,0.01119,0.032044,0.008911,0.015392,0.029757,0.024142,0.012347,0.035034,0.015345,0.00666,0.00237,0.000533,0.000192,0.000127,?
311,'2018/01/18 19:42:03:229',1,0.079966,0.263575,0.075399,0.04068,0.013012,0.005725,0.009341,0.006581,0.014885,0.007185,0.007222,0.012856,0.037929,0.010301,0.016236,0.045896,0.027612,0.014655,0.027613,0.014339,0.006198,0.002278,0.000507,0.000206,0.000124,?
312,'2018/01/18 19:42:03:246',1,0.087151,0.286267,0.077996,0.042522,0.018621,0.005986,0.006805,0.00632,0.010299,0.01103,0.007506,0.00788,0.027485,0.010903,0.014406,0.065865,0.029793,0.017867,0.030833,0.014237,0.006937,0.002069,0.000384,0.000199,0.000133,?
313,'2018/01/18 19:42:03:252',1,0.152153,0.336943,0.077078,0.031456,0.021994,0.010607,0.008013,0.006014,0.009251,0.01511,0.009861,0.007764,0.037494,0.011952,0.012579,0.067237,0.028781,0.01477,0.042125,0.012632,0.006622,0.00222,0.000397,0.000207,0.000116,?
314,'2018/01/18 19:42:03:263',1,0.148375,0.635434,0.104243,0.031542,0.018853,0.007668,0.007612,0.007283,0.006215,0.011471,0.011489,0.014849,0.017783,0.009446,0.017546,0.046861,0.02039,0.014969,0.035509,0.011388,0.006239,0.002572,0.000429,0.000208,0.00016,?
315,'2018/01/18 19:42:03:278',1,0.1545,0.831321,0.071375,0.035723,0.01848,0.008779,0.005478,0.006168,0.007032,0.010227,0.010315,0.017427,0.020126,0.012626,0.013824,0.047306,0.021525,0.011809,0.033961,0.011187,0.006877,0.002277,0.000439,0.000239,0.00019,?
316,'2018/01/18 19:42:03:294',1,0.177016,0.566546,0.117779,0.040106,0.021278,0.005476,0.004401,0.006381,0.013389,0.011755,0.006042,0.008731,0.02806,0.016745,0.020426,0.05148,0.016731,0.010143,0.023676,0.010271,0.005009,0.002425,0.000468,0.000284,0.000286,?
317,'2018/01/18 19:42:03:301',1,0.138945,0.278216,0.050469,0.037114,0.01574,0.00511,0.007559,0.009088,0.012519,0.016241,0.009477,0.012131,0.035176,0.021174,0.018551,0.044938,0.019296,0.012559,0.021652,0.010745,0.005794,0.00216,0.000497,0.000699,0.000878,?
318,'2018/01/18 19:42:03:310',1,0.150446,0.426471,0.067596,0.02499,0.010602,0.006561,0.007545,0.007423,0.012159,0.014381,0.014182,0.010311,0.04721,0.016656,0.017177,0.050872,0.026431,0.014951,0.025229,0.010982,0.006399,0.002257,0.000547,0.001074,0.00119,?
319,'2018/01/18 19:42:03:321',1,0.104254,0.317544,0.115625,0.042965,0.018994,0.007811,0.009967,0.012024,0.013525,0.011962,0.008203,0.015091,0.04194,0.012485,0.022048,0.065353,0.027264,0.015724,0.03278,0.01028,0.005539,0.002772,0.0007,0.000988,0.001658,?
320,'2018/01/18 19:42:03:341',1,0.06306,0.158117,0.075998,0.045362,0.013344,0.005989,0.008498,0.012132,0.015007,0.011865,0.005639,0.017088,0.043844,0.011471,0.017499,0.082405,0.035876,0.014841,0.032766,0.011616,0.007224,0.002625,0.000938,0.000743,0.001888,?
321,'2018/01/18 19:42:03:345',1,0.091348,0.268866,0.089175,0.05442,0.010036,0.009036,0.009431,0.010035,0.013211,0.007576,0.010742,0.012371,0.041387,0.011545,0.016948,0.131937,0.036749,0.015267,0.041833,0.01129,0.007072,0.002139,0.000737,0.000431,0.000937,?
322,'2018/01/18 19:42:03:356',1,0.102222,0.319429,0.081315,0.026757,0.008056,0.008393,0.009118,0.009861,0.011559,0.008016,0.012224,0.009911,0.034332,0.014837,0.018351,0.074132,0.028567,0.016639,0.043437,0.00964,0.006283,0.002353,0.000456,0.000261,0.000321,?
323,'2018/01/18 19:42:03:376',1,0.124136,0.231248,0.078832,0.022016,0.009995,0.00649,0.008561,0.00738,0.009735,0.009455,0.007552,0.007408,0.028853,0.011939,0.015431,0.061398,0.022904,0.011803,0.03332,0.009756,0.004771,0.002758,0.000395,0.000239,0.000248,?
324,'2018/01/18 19:42:03:379',1,0.154467,0.307564,0.086376,0.027091,0.017415,0.005517,0.007962,0.004906,0.013512,0.007253,0.01212,0.007764,0.023506,0.011847,0.021297,0.048543,0.021757,0.011386,0.026488,0.011139,0.004336,0.002517,0.000385,0.000212,0.000229,?
325,'2018/01/18 19:42:03:395',1,0.074999,0.235109,0.095042,0.037964,0.018223,0.002401,0.008167,0.006968,0.0091,0.007718,0.009924,0.01075,0.021552,0.011894,0.017355,0.036307,0.016733,0.012143,0.026408,0.009797,0.004395,0.002405,0.000329,0.000172,0.000169,?
326,'2018/01/18 19:42:03:403',1,0.101246,0.13413,0.106318,0.024611,0.014973,0.003422,0.005433,0.005561,0.005349,0.01002,0.007657,0.015415,0.020746,0.012554,0.014726,0.045549,0.0202,0.013694,0.021551,0.010603,0.004067,0.002242,0.000345,0.000181,0.000137,?
327,'2018/01/18 19:42:03:414',1,0.112667,0.192721,0.099958,0.026533,0.020893,0.007122,0.003229,0.006463,0.010633,0.010363,0.00799,0.011565,0.025775,0.016813,0.015885,0.040837,0.017717,0.0107,0.027679,0.008452,0.004259,0.001979,0.000364,0.000168,0.000141,?
328,'2018/01/18 19:42:03:428',1,0.180202,0.146647,0.093217,0.051767,0.011165,0.008035,0.006357,0.007361,0.012216,0.012633,0.008072,0.010109,0.028708,0.011381,0.016357,0.046912,0.016637,0.013961,0.022806,0.007718,0.005402,0.001854,0.00038,0.000191,0.000131,?
329,'2018/01/18 19:42:03:444',1,0.086617,0.182115,0.117824,0.029706,0.018728,0.005633,0.004076,0.005439,0.014026,0.006146,0.004765,0.008524,0.035246,0.010173,0.014187,0.038953,0.011116,0.012866,0.016426,0.009039,0.004556,0.001764,0.000371,0.000183,0.000114,?
330,'2018/01/18 19:42:03:449',1,0.068415,0.240532,0.094574,0.029204,0.016493,0.006478,0.004628,0.00549,0.008861,0.008267,0.006068,0.007571,0.023648,0.011256,0.013225,0.03355,0.015065,0.01282,0.014387,0.008546,0.00422,0.001736,0.000328,0.000176,0.000126,?
331,'2018/01/18 19:42:03:461',1,0.175741,0.252999,0.129919,0.036077,0.019349,0.007992,0.008798,0.007957,0.006152,0.010819,0.008471,0.005076,0.040702,0.011212,0.013579,0.026904,0.017588,0.010839,0.016568,0.006804,0.003862,0.001974,0.00034,0.000179,0.000121,?
332,'2018/01/18 19:42:03:476',1,0.224258,0.432872,0.130546,0.074756,0.01967,0.009306,0.009626,0.008458,0.008377,0.012626,0.006233,0.005829,0.033689,0.010213,0.014963,0.022025,0.015611,0.009776,0.019538,0.007696,0.00321,0.001946,0.000357,0.000184,0.000116,?
333,'2018/01/18 19:42:03:484',1,0.11513,0.688911,0.113211,0.05376,0.01449,0.006606,0.007061,0.00827,0.01238,0.013219,0.007837,0.009081,0.024093,0.013118,0.016744,0.024551,0.012597,0.008506,0.020079,0.009944,0.003006,0.001556,0.000337,0.000176,0.000128,?
334,'2018/01/18 19:42:03:496',1,0.157716,0.642673,0.089258,0.018498,0.013484,0.009221,0.0129,0.00672,0.009458,0.008144,0.006565,0.013228,0.02565,0.013605,0.014966,0.02635,0.012732,0.009742,0.017583,0.00699,0.003601,0.001289,0.00033,0.000168,0.000128,?
335,'2018/01/18 19:42:03:509',1,0.09013,0.320469,0.057871,0.035311,0.007727,0.009365,0.006447,0.004556,0.00756,0.007427,0.009581,0.013899,0.032518,0.01439,0.01066,0.021479,0.014141,0.009679,0.022261,0.006009,0.004213,0.001227,0.000281,0.000168,0.000149,?
336,'2018/01/18 19:42:03:519',1,0.103169,0.171391,0.060294,0.044738,0.010414,0.007152,0.004345,0.006312,0.009053,0.009358,0.009966,0.012274,0.033384,0.013031,0.013232,0.019902,0.013273,0.009048,0.0254,0.007078,0.004574,0.001455,0.000286,0.000174,0.000147,?
337,'2018/01/18 19:42:03:530',1,0.064029,0.208158,0.096462,0.040066,0.005066,0.005884,0.004788,0.008621,0.011541,0.006908,0.008391,0.014569,0.016992,0.015255,0.011505,0.017337,0.013947,0.009147,0.02125,0.00817,0.003299,0.001419,0.000256,0.000165,0.000127,?
338,'2018/01/18 19:42:03:542',1,0.046664,0.216584,0.110369,0.047984,0.008005,0.003731,0.007977,0.006683,0.011872,0.006523,0.004246,0.012236,0.016397,0.01336,0.016714,0.0224,0.012578,0.010707,0.018463,0.006718,0.003521,0.001347,0.000316,0.00015,0.000113,?
339,'2018/01/18 19:42:03:562',1,0.103132,0.305578,0.112125,0.0488,0.016612,0.003967,0.008898,0.00796,0.008852,0.007198,0.00631,0.013618,0.026217,0.014416,0.015656,0.025012,0.010192,0.010434,0.017129,0.008002,0.003493,0.001099,0.000294,0.00017,0.000088,?
340,'2018/01/18 19:42:03:565',1,0.089925,0.335896,0.084357,0.025007,0.017745,0.005222,0.007083,0.005161,0.009963,0.010493,0.006916,0.0151,0.02569,0.010027,0.012123,0.020897,0.008442,0.008928,0.017405,0.007785,0.003306,0.001121,0.000276,0.000165,0.00009,?
341,'2018/01/18 19:42:03:577',1,0.080511,0.388403,0.058626,0.027909,0.010684,0.005728,0.007054,0.005529,0.006735,0.00945,0.00524,0.013262,0.026441,0.008474,0.009634,0.027935,0.010131,0.00869,0.012528,0.006764,0.003444,0.001385,0.000277,0.000156,0.000101,?
342,'2018/01/18 19:42:03:588',1,0.079631,0.260171,0.101152,0.037525,0.008438,0.007231,0.003704,0.005223,0.011098,0.006857,0.004874,0.014993,0.028946,0.008494,0.009199,0.024773,0.010402,0.008884,0.015013,0.005828,0.003232,0.001306,0.000269,0.000133,0.000111,?
343,'2018/01/18 19:42:03:600',1,0.056127,0.175185,0.057815,0.054861,0.014874,0.003411,0.004026,0.008207,0.007195,0.007072,0.005404,0.011651,0.026467,0.010644,0.010783,0.025926,0.010615,0.0064,0.01124,0.005636,0.002684,0.001008,0.000271,0.000145,0.000093,?
344,'2018/01/18 19:42:03:612',1,0.084463,0.137672,0.067557,0.038598,0.011309,0.002671,0.006448,0.00796,0.007433,0.005391,0.002868,0.013754,0.023792,0.010725,0.012868,0.022588,0.010242,0.006884,0.011378,0.004842,0.002562,0.00091,0.000266,0.000154,0.000069,?
345,'2018/01/18 19:42:03:623',1,0.087161,0.158608,0.053819,0.028929,0.009172,0.006558,0.006194,0.005608,0.012242,0.006562,0.003825,0.01359,0.017838,0.012824,0.012823,0.028605,0.008253,0.00647,0.015169,0.005507,0.002605,0.000829,0.000249,0.000139,0.00006,?
346,'2018/01/18 19:42:03:635',1,0.097778,0.157923,0.059401,0.021728,0.007186,0.004334,0.00692,0.005374,0.012004,0.005737,0.006511,0.011867,0.026142,0.00992,0.01143,0.026348,0.010481,0.007228,0.013044,0.005803,0.002632,0.000821,0.000251,0.000149,0.000063,?
347,'2018/01/18 19:42:03:646',1,0.068632,0.193056,0.068641,0.014101,0.00758,0.006189,0.008627,0.006284,0.012019,0.006584,0.004046,0.011374,0.024495,0.010851,0.013661,0.02384,0.010545,0.007085,0.010537,0.005352,0.002752,0.00076,0.000251,0.000144,0.000064,?
348,'2018/01/18 19:42:03:660',1,0.050231,0.26535,0.075946,0.010372,0.00984,0.004307,0.005103,0.006,0.007226,0.007713,0.006364,0.008999,0.01672,0.0108,0.011275,0.02298,0.009395,0.007341,0.01498,0.00566,0.002044,0.0008,0.000243,0.000143,0.000067,?
349,'2018/01/18 19:42:03:674',1,0.052185,0.198635,0.060347,0.016858,0.011367,0.004531,0.006381,0.005412,0.006395,0.005241,0.004414,0.00916,0.012988,0.011146,0.011349,0.021691,0.007462,0.006909,0.010684,0.005509,0.002378,0.000854,0.000254,0.000141,0.00007,?
350,'2018/01/18 19:42:03:681',1,0.064744,0.158372,0.04567,0.017059,0.007212,0.006484,0.005292,0.005206,0.008584,0.007744,0.003789,0.009636,0.015458,0.007573,0.006737,0.021772,0.006783,0.005696,0.008998,0.004452,0.002212,0.000812,0.000239,0.000148,0.000067,?
351,'2018/01/18 19:42:03:693',1,0.084047,0.192468,0.04724,0.034324,0.013071,0.004728,0.005924,0.00515,0.005228,0.008274,0.004189,0.008997,0.019628,0.007267,0.009842,0.017039,0.006534,0.005708,0.011306,0.004146,0.002401,0.000682,0.000237,0.000136,0.000059,?
352,'2018/01/18 19:42:03:708',1,0.072418,0.160625,0.069925,0.03303,0.011444,0.005817,0.006666,0.003852,0.005443,0.004261,0.005557,0.007121,0.013158,0.006084,0.011482,0.015963,0.006047,0.005146,0.009865,0.004398,0.002398,0.000599,0.000244,0.000136,0.000063,?
353,'2018/01/18 19:42:03:716',1,0.059538,0.167208,0.071766,0.030677,0.007755,0.005908,0.007932,0.003932,0.007961,0.004932,0.006501,0.009098,0.013466,0.008048,0.00808,0.020721,0.008412,0.004751,0.010627,0.004557,0.002271,0.000727,0.000255,0.000132,0.000067,?
354,'2018/01/18 19:42:03:728',1,0.035627,0.152744,0.05127,0.044803,0.007145,0.002748,0.006324,0.005403,0.006936,0.00891,0.004888,0.009136,0.012512,0.007619,0.010511,0.01554,0.008477,0.005684,0.011009,0.004046,0.001958,0.000843,0.000243,0.000141,0.000064,?
355,'2018/01/18 19:42:03:742',1,0.066012,0.216828,0.070696,0.035916,0.009653,0.002704,0.003422,0.003772,0.00448,0.005002,0.005499,0.00653,0.013056,0.006157,0.008252,0.016275,0.007049,0.005374,0.010869,0.003947,0.001829,0.000738,0.000233,0.000143,0.000059,?
356,'2018/01/18 19:42:03:751',1,0.15552,0.287173,0.071222,0.022578,0.00734,0.003209,0.004175,0.004822,0.005436,0.005749,0.006011,0.010429,0.014455,0.007588,0.007532,0.013609,0.005923,0.005932,0.010006,0.003598,0.001703,0.000604,0.000239,0.000151,0.000059,?
357,'2018/01/18 19:42:03:763',1,0.127042,0.198888,0.070276,0.017955,0.005769,0.005752,0.002786,0.005448,0.009181,0.008571,0.005625,0.011828,0.012759,0.010497,0.006991,0.010224,0.005751,0.006364,0.0119,0.004578,0.001874,0.000755,0.000315,0.000153,0.000058,?
358,'2018/01/18 19:42:03:774',1,0.062369,0.201523,0.057956,0.034817,0.012736,0.003969,0.004912,0.00538,0.008854,0.00492,0.003122,0.005325,0.012477,0.006998,0.008376,0.010396,0.005919,0.005322,0.011855,0.004057,0.001941,0.000564,0.000223,0.000124,0.000059,?
359,'2018/01/18 19:42:03:786',1,0.07659,0.266781,0.043087,0.029515,0.013256,0.005589,0.003106,0.004944,0.00561,0.0023,0.003936,0.005374,0.016261,0.007291,0.008757,0.014671,0.007102,0.005364,0.008967,0.004397,0.001871,0.000445,0.000225,0.000127,0.000057,?
360,'2018/01/18 19:42:03:798',1,0.082374,0.169483,0.025028,0.024392,0.008646,0.004698,0.002759,0.003266,0.004197,0.004339,0.003653,0.007704,0.020064,0.009005,0.010351,0.018095,0.006248,0.005197,0.00712,0.005214,0.001545,0.000603,0.000221,0.000123,0.000058,?
361,'2018/01/18 19:42:03:810',1,0.079486,0.063283,0.06915,0.040639,0.010604,0.003712,0.003681,0.002124,0.003815,0.005275,0.006529,0.0039,0.016891,0.006616,0.006964,0.014973,0.005632,0.004414,0.006813,0.004236,0.001338,0.000509,0.000193,0.00014,0.000069,?
362,'2018/01/18 19:42:03:821',1,0.12115,0.248103,0.055233,0.038884,0.01001,0.005459,0.002605,0.002072,0.005462,0.005657,0.005315,0.00517,0.014192,0.005208,0.010752,0.015146,0.005411,0.003902,0.009862,0.003702,0.001668,0.00052,0.000185,0.000127,0.000067,?
363,'2018/01/18 19:42:03:832',1,0.078564,0.297883,0.048825,0.016068,0.012855,0.005582,0.001804,0.00417,0.007995,0.007391,0.004501,0.005575,0.01471,0.007097,0.01158,0.016838,0.004923,0.004778,0.011721,0.003711,0.001283,0.000466,0.000174,0.000115,0.000063,?
364,'2018/01/18 19:42:03:844',1,0.060614,0.247363,0.038793,0.03511,0.009803,0.004251,0.004397,0.004179,0.005111,0.006328,0.004781,0.005361,0.01682,0.006298,0.007187,0.012992,0.005092,0.006179,0.00853,0.003608,0.001213,0.000402,0.000174,0.000109,0.000049,?
365,'2018/01/18 19:42:03:859',1,0.098976,0.157626,0.027814,0.032162,0.005051,0.004033,0.004679,0.003986,0.003458,0.005547,0.005916,0.003968,0.016249,0.007943,0.007605,0.014693,0.006742,0.005105,0.005889,0.003261,0.00146,0.000417,0.000173,0.000114,0.00005,?
366,'2018/01/18 19:42:03:867',1,0.043418,0.186722,0.034879,0.016497,0.005371,0.003737,0.004472,0.004041,0.004342,0.004818,0.003658,0.003624,0.012451,0.005818,0.007369,0.011055,0.006622,0.003763,0.007472,0.002873,0.001727,0.000478,0.000158,0.000115,0.000103,?
367,'2018/01/18 19:42:03:879',1,0.044042,0.341341,0.053609,0.037224,0.005975,0.004639,0.003809,0.002886,0.003653,0.003097,0.003334,0.00391,0.010102,0.005074,0.006913,0.015834,0.005734,0.005434,0.008059,0.002641,0.001388,0.001097,0.001024,0.000895,0.000136,?
368,'2018/01/18 19:42:03:891',1,0.050339,0.326497,0.09194,0.038565,0.011369,0.003889,0.004646,0.005345,0.004253,0.004702,0.003519,0.003902,0.011392,0.008344,0.005778,0.018109,0.005512,0.005977,0.009018,0.004285,0.002064,0.003764,0.004084,0.003692,0.000161,?
369,'2018/01/18 19:42:03:902',1,0.056054,0.12573,0.038664,0.028767,0.010317,0.002054,0.005568,0.00638,0.003606,0.006006,0.004255,0.004609,0.010542,0.009013,0.005532,0.014818,0.006051,0.004067,0.007326,0.003877,0.001623,0.001945,0.002023,0.001887,0.000113,?
370,'2018/01/18 19:42:03:916',1,0.080037,0.086387,0.036062,0.026652,0.005733,0.002861,0.006195,0.005632,0.00431,0.008022,0.002779,0.003406,0.010147,0.005583,0.008242,0.013211,0.004307,0.00342,0.007566,0.00304,0.001318,0.000581,0.000382,0.000309,0.00007,?
371,'2018/01/18 19:42:03:925',1,0.057037,0.074919,0.066643,0.051,0.008689,0.003325,0.005874,0.003883,0.003597,0.00348,0.004226,0.003621,0.014354,0.008056,0.008549,0.014485,0.004193,0.003233,0.006124,0.002065,0.001191,0.000386,0.000204,0.000175,0.000063,?
372,'2018/01/18 19:42:03:937',1,0.043947,0.110043,0.053523,0.041474,0.010949,0.002737,0.006582,0.003436,0.005492,0.003451,0.005263,0.005927,0.012139,0.007271,0.006035,0.013357,0.006517,0.003357,0.005868,0.002266,0.001118,0.000492,0.000249,0.00026,0.00008,?
373,'2018/01/18 19:42:03:948',1,0.053308,0.203993,0.084703,0.022077,0.00792,0.004694,0.004986,0.0058,0.005943,0.005386,0.004153,0.008892,0.014312,0.008065,0.006664,0.010043,0.005324,0.003152,0.007545,0.002683,0.00195,0.000693,0.000382,0.000748,0.000215,?
374,'2018/01/18 19:42:03:960',1,0.029792,0.108464,0.098285,0.051896,0.004882,0.003275,0.00393,0.004408,0.006168,0.005415,0.004774,0.005027,0.011809,0.007227,0.007745,0.013074,0.004884,0.003458,0.008366,0.002804,0.001414,0.000478,0.000293,0.000558,0.000198,?
375,'2018/01/18 19:42:03:972',1,0.069682,0.125625,0.067904,0.038607,0.003822,0.002448,0.004368,0.005317,0.008186,0.00536,0.004436,0.003707,0.011676,0.006597,0.008376,0.012872,0.004556,0.004298,0.007688,0.003161,0.001605,0.000405,0.00025,0.000194,0.000103,?
376,'2018/01/18 19:42:03:983',1,0.069994,0.183809,0.086478,0.034449,0.006067,0.002811,0.004595,0.004602,0.006191,0.003365,0.003083,0.003947,0.011042,0.0046,0.009907,0.011105,0.004279,0.003647,0.007673,0.002323,0.001305,0.000393,0.000214,0.000144,0.000072,?
377,'2018/01/18 19:42:03:995',1,0.042897,0.107874,0.059399,0.022693,0.008263,0.002331,0.004548,0.003682,0.005502,0.002854,0.003063,0.003106,0.012815,0.004869,0.007058,0.010553,0.005315,0.003657,0.007334,0.001833,0.001038,0.000411,0.000204,0.000113,0.000062,?
378,'2018/01/18 19:42:04:009',1,0.053569,0.176699,0.092737,0.048023,0.009072,0.004036,0.004224,0.003414,0.004179,0.002817,0.003148,0.004578,0.017565,0.005698,0.006041,0.010018,0.006118,0.003135,0.007998,0.002002,0.000977,0.000301,0.00018,0.000106,0.000067,?
379,'2018/01/18 19:42:04:018',1,0.114813,0.186884,0.061166,0.031152,0.008717,0.003691,0.00394,0.0043,0.002758,0.00387,0.003637,0.003103,0.015361,0.006797,0.006086,0.010993,0.005409,0.003131,0.007059,0.002714,0.00092,0.000411,0.000215,0.000111,0.000073,?
380,'2018/01/18 19:42:04:030',1,0.079283,0.231493,0.035517,0.01791,0.006441,0.003512,0.003539,0.004578,0.004189,0.004461,0.004149,0.004146,0.010831,0.004878,0.007697,0.008425,0.004655,0.003082,0.006708,0.002447,0.00098,0.000465,0.000205,0.000123,0.000062,?
381,'2018/01/18 19:42:04:041',1,0.035308,0.293793,0.04876,0.028128,0.007398,0.003747,0.004387,0.004032,0.004826,0.00419,0.003556,0.003872,0.007725,0.006471,0.006278,0.008466,0.005266,0.003947,0.005845,0.003037,0.000955,0.000347,0.000196,0.000139,0.000063,?
382,'2018/01/18 19:42:04:053',1,0.096922,0.183858,0.043236,0.031811,0.015935,0.003551,0.003022,0.003974,0.005097,0.003485,0.003556,0.005229,0.010117,0.006537,0.006491,0.009757,0.004872,0.003909,0.005977,0.002759,0.001233,0.000383,0.000189,0.000154,0.000068,?
383,'2018/01/18 19:42:04:074',1,0.05134,0.190058,0.051688,0.026499,0.010833,0.003692,0.002881,0.003778,0.004717,0.005343,0.003253,0.005049,0.01409,0.005911,0.006906,0.009893,0.004643,0.003535,0.00633,0.00224,0.001073,0.000396,0.000248,0.000171,0.000116,?
384,'2018/01/18 19:42:04:076',1,0.043392,0.228536,0.049047,0.027166,0.010143,0.00439,0.003292,0.004087,0.004176,0.00647,0.004308,0.005687,0.014391,0.004099,0.006134,0.010379,0.006072,0.003335,0.005855,0.00215,0.000938,0.000455,0.000342,0.000195,0.000142,?
385,'2018/01/18 19:42:04:088',1,0.042775,0.218877,0.056508,0.024258,0.00871,0.003101,0.00317,0.004329,0.004309,0.00499,0.004986,0.005265,0.010868,0.007801,0.007173,0.013934,0.006507,0.003953,0.00567,0.002773,0.000867,0.000494,0.00042,0.000286,0.000169,?
386,'2018/01/18 19:42:04:107',1,0.040557,0.188903,0.062303,0.025503,0.018405,0.004753,0.005076,0.005162,0.008512,0.006794,0.004397,0.006101,0.016284,0.007493,0.008912,0.016594,0.011376,0.004013,0.006964,0.003668,0.001238,0.000623,0.000724,0.000464,0.000302,?
387,'2018/01/18 19:42:04:113',1,0.026275,0.091461,0.070148,0.04831,0.013176,0.004242,0.005147,0.004408,0.007907,0.006909,0.005438,0.008372,0.021944,0.005245,0.00712,0.019168,0.009125,0.003776,0.007615,0.003802,0.00166,0.000838,0.000996,0.000749,0.000504,?
388,'2018/01/18 19:42:04:123',1,0.032987,0.280343,0.097489,0.03939,0.014008,0.004485,0.004784,0.008653,0.007877,0.007113,0.008227,0.007515,0.028454,0.006657,0.007946,0.023079,0.010469,0.004516,0.006656,0.003448,0.001718,0.000961,0.001079,0.000553,0.000513,?
389,'2018/01/18 19:42:04:134',1,0.098127,0.36343,0.108125,0.038436,0.01205,0.00501,0.007129,0.012331,0.005237,0.006521,0.005023,0.006596,0.015977,0.006934,0.011593,0.020997,0.00886,0.003893,0.006932,0.003406,0.002205,0.001459,0.001099,0.000685,0.000462,?
