@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute outputs-1 {0,1,2,3}

@data
20,'2018/01/18 19:41:59:850',1,0.095737,0.441435,0.229979,0.141986,0.105256,0.100895,0.090869,0.143233,0.050527,0.037282,0.05814,0.083025,0.084221,0.048463,0.035569,0.024453,0.018871,0.012524,0.011192,0.004149,0.003593,0.001022,0.001423,0.002003,0.000815,?
21,'2018/01/18 19:41:59:862',1,0.155778,0.474748,0.18523,0.124578,0.068216,0.099162,0.092377,0.139833,0.046591,0.106112,0.162021,0.081132,0.086179,0.051186,0.0345,0.020589,0.015864,0.010444,0.007334,0.002203,0.002921,0.00099,0.013599,0.019628,0.006536,?
22,'2018/01/18 19:41:59:873',1,0.111166,0.295689,0.16235,0.112459,0.096281,0.098683,0.098643,0.068053,0.050406,0.098836,0.228473,0.069106,0.048001,0.049296,0.031102,0.01586,0.013209,0.007445,0.005731,0.001596,0.003014,0.001084,0.017602,0.025561,0.011934,?
23,'2018/01/18 19:41:59:893',1,0.137763,0.227981,0.126806,0.08331,0.059942,0.067334,0.072141,0.043983,0.04547,0.086122,0.074539,0.052548,0.038542,0.023009,0.030632,0.016077,0.009163,0.004722,0.003291,0.001806,0.002238,0.001227,0.014921,0.017867,0.012848,?
24,'2018/01/18 19:41:59:896',1,0.09906,0.283751,0.143074,0.085034,0.101666,0.161997,0.165878,0.111261,0.15439,0.213995,0.127003,0.056788,0.027328,0.019783,0.022006,0.012909,0.007948,0.005097,0.002448,0.003557,0.00833,0.006163,0.015966,0.014023,0.005712,?
25,'2018/01/18 19:41:59:911',1,0.126769,0.286002,0.143642,0.098006,0.121331,0.182697,0.180894,0.105789,0.206645,0.274747,0.151515,0.044236,0.030396,0.017912,0.023476,0.006283,0.00803,0.005442,0.00285,0.006044,0.012494,0.01567,0.014043,0.013015,0.005701,?
26,'2018/01/18 19:41:59:920',1,0.096819,0.29192,0.088539,0.112945,0.056707,0.060526,0.057736,0.035871,0.109149,0.197496,0.130143,0.05218,0.039964,0.022246,0.022016,0.01561,0.010692,0.007947,0.00573,0.008701,0.014705,0.016276,0.014562,0.011953,0.004886,?
27,'2018/01/18 19:41:59:931',1,0.090726,0.163889,0.080806,0.069171,0.033625,0.050861,0.040092,0.03408,0.050035,0.158997,0.095672,0.056615,0.029217,0.018169,0.020651,0.014511,0.009459,0.010091,0.003921,0.004076,0.009593,0.00822,0.007116,0.005943,0.002187,?
28,'2018/01/18 19:41:59:943',1,0.134775,0.16358,0.1198,0.043005,0.011028,0.033346,0.076859,0.031026,0.051736,0.092724,0.069914,0.042545,0.020221,0.019731,0.019074,0.008458,0.012247,0.007829,0.001912,0.002768,0.00574,0.005173,0.002681,0.002049,0.000619,?
29,'2018/01/18 19:41:59:954',1,0.122111,0.243205,0.101223,0.054169,0.042276,0.054582,0.121257,0.076853,0.104189,0.105697,0.046675,0.028028,0.020342,0.020067,0.02239,0.006148,0.024928,0.007541,0.001202,0.00171,0.003022,0.002995,0.001103,0.001139,0.000217,?
30,'2018/01/18 19:41:59:975',1,0.12089,0.458293,0.199554,0.309593,0.090912,0.206008,0.388006,0.1796,0.211839,0.157807,0.069462,0.031667,0.012048,0.020961,0.019705,0.004057,0.018919,0.004399,0.001212,0.001067,0.001787,0.003013,0.00106,0.001114,0.000129,?
31,'2018/01/18 19:41:59:979',1,0.0475,0.698876,0.211548,0.705951,0.210804,0.477093,0.726703,0.264059,0.277517,0.331863,0.143403,0.054846,0.016542,0.037433,0.035263,0.004108,0.013438,0.003814,0.001289,0.001199,0.000881,0.00219,0.001027,0.001467,0.000141,?
32,'2018/01/18 19:41:59:990',1,0.101681,0.644144,0.271485,1,0.628689,0.642021,1,0.432041,0.607887,0.36925,0.154899,0.062956,0.025188,0.099243,0.075842,0.009467,0.020786,0.006504,0.001081,0.001056,0.000953,0.001858,0.00061,0.002367,0.000131,?
33,'2018/01/18 19:42:00:009',1,0.168027,0.616659,0.157912,0.982868,0.832061,0.437026,1,0.507971,0.86933,0.735136,0.218795,0.117271,0.044258,0.122133,0.10947,0.020304,0.032866,0.017547,0.001199,0.000803,0.000851,0.00133,0.000557,0.00148,0.00013,?
34,'2018/01/18 19:42:00:012',1,0.10637,0.567076,0.244564,1,0.787561,0.385231,1,0.610095,0.787449,1,0.574316,0.242237,0.060934,0.115254,0.191444,0.026729,0.04047,0.027194,0.001606,0.000954,0.000851,0.001043,0.000673,0.001966,0.000148,?
